"ANTIPSYCHOTICS,DOPAMINE ANTAGONISTS,BUTYROPHENONES",1134
"ANTI-PSYCHOTICS,PHENOTHIAZINES",1135
"ANTITUSSIVES,NON-NARCOTIC",1141
ARGININE VASOPRESSIN (AVP) RECEPTOR ANTAGONISTS,1158
BELLADONNA ALKALOIDS,1166
BENIGN PROSTATIC HYPERTROPHY/MICTURITION AGENTS,1167
BENZODIAZEPINE ANTAGONISTS,1168
BETA-ADRENERGIC AGENTS,1169
BETA-ADRENERGIC AND ANTICHOLINERGIC COMBINATIONS,1170
BETA-ADRENERGIC AND GLUCOCORTICOID COMBINATIONS,1171
BETA-ADRENERGIC BLOCKING AGENTS,1172
BETA-ADRENERGIC BLOCKING AGENTS/THIAZIDE & RELATED,1173
BIPOLAR DISORDER DRUGS,1180
CALCIUM CHANNEL BLOCKING AGENTS,1191
CARBONIC ANHYDRASE INHIBITORS,1195
"CARDIOVASCULAR DIAGNOSTICS,NON-RADIOPAQUE AGENTS",1196
CHOLINESTERASE INHIBITORS,1208
DECONGESTANT-EXPECTORANT COMBINATIONS,1226
"DECONGESTANTS, ORAL",1227
DIGITALIS GLYCOSIDES,1234
DIRECT FACTOR XA INHIBITORS,1235
ESTROGEN & PROGESTIN WITH ANTIMINERALOCORTICOID CB,1253
ESTROGEN/ANDROGEN COMBINATIONS,1254
ESTROGENIC AGENTS,1255
EXPECTORANTS,1256
"GENERAL ANESTHETICS,INJECTABLE",1280
GENERAL BRONCHODILATOR AGENTS,1281
GLUCOCORTICOIDS,1285
"GLUCOCORTICOIDS, ORALLY INHALED",1286
HEPARIN AND RELATED PREPARATIONS,1297
HISTAMINE H2-RECEPTOR INHIBITORS,1303
INOTROPIC DRUGS,1320
INTESTINAL MOTILITY STIMULANTS,1323
LOOP DIURETICS,1350
MACROLIDES,1352
MAOIS - NON-SELECTIVE & IRREVERSIBLE,1354
MINERALOCORTICOIDS,1364
MONOAMINE OXIDASE(MAO) INHIBITORS,1366
"NARC.& NON-SAL.ANALGESIC,BARBITURATE &XANTHINE CMB",1374
NARCOLEPSY AND SLEEP DISORDER THERAPY AGENTS,1375
"NARCOTIC & SALICYLATE ANALGESICS, BARB.& XANTHINE",1376
NARCOTIC ANALGESIC & NON-SALICYLATE ANALGESIC COMB,1377
NARCOTIC ANTAGONISTS,1378
NARCOTIC ANTITUSS-1ST GEN. ANTIHISTAMINE-DECONGEST,1379
NARCOTIC ANTITUSSIVE-1ST GENERATION ANTIHISTAMINE,1380
NARCOTIC ANTITUSSIVE-ANTICHOLINERGIC COMB.,1381
NARCOTIC ANTITUSSIVE-EXPECTORANT COMBINATION,1382
NARCOTIC WITHDRAWAL THERAPY AGENTS,1383
NEUROMUSCULAR BLOCKING AGENTS,1392
NON-NARC ANTITUSSIVE-1ST GEN ANTIHISTAMINE COMB.,1396
NON-NARCOTIC ANTITUSS-DECONGESTANT-EXPECTORANT CMB,1397
NON-NARCOTIC ANTITUSSIVE AND EXPECTORANT COMB.,1398
NOREPINEPHRINE AND DOPAMINE REUPTAKE INHIB (NDRIS),1399
NSAID & HISTAMINE H2 RECEPTOR ANTAGONIST COMB.,1405
"NSAID, COX INHIBITOR-TYPE & PROTON PUMP INHIB COMB",1406
NSAIDS (COX NON-SPECIFIC INHIB)& PROSTAGLANDIN CMB,1407
"NSAIDS, CYCLOOXYGENASE INHIBITOR - TYPE",1408
"NSAIDS,CYCLOOXYGENASE-2(COX-2) SELECTIVE INHIBITOR",1409
OSMOTIC DIURETICS,1423
"OVERACTIVE BLADDER AGENTS, BETA-3 ADRENERGIC RECEP",1426
OXYTOCICS,1429
PARASYMPATHETIC AGENTS,1432
PLATELET AGGREGATION INHIBITORS,1444
POTASSIUM REPLACEMENT,1448
POTASSIUM SPARING DIURETICS,1449
POTASSIUM SPARING DIURETICS IN COMBINATION,1450
PROGESTATIONAL AGENTS,1454
"PULM ANTI-HTN,SOLUBLE GUANYLATE CYCLASE STIMULATOR",1459
"PULM.ANTI-HTN,SEL.C-GMP PHOSPHODIESTERASE T5 INHIB",1460
"PULMONARY ANTI-HTN, ENDOTHELIN RECEPTOR ANTAGONIST",1461
"PULMONARY ANTIHYPERTENSIVES, PROSTACYCLIN-TYPE",1462
QUINOLONES,1464
"RENIN INHIBITOR, DIRECT",1468
RIFAMYCINS AND RELATED DERIVATIVE ANTIBIOTICS,1470
"SEDATIVE-HYPNOTICS,NON-BARBITURATE",1476
SELECTIVE ESTROGEN RECEPTOR MODULATORS (SERMS),1477
SELECTIVE SEROTONIN REUPTAKE INHIBITOR (SSRIS),1478
SEROTONIN-2 ANTAGONIST/REUPTAKE INHIBITORS (SARIS),1479
SEROTONIN-NOREPINEPHRINE REUPTAKE-INHIB (SNRIS),1480
SKELETAL MUSCLE RELAXANTS,1482
SOMATOSTATIC AGENTS,1488
STREPTOGRAMINS,1492
SYMPATHOMIMETIC AGENTS,1496
TETRACYCLINES,1499
THIAZIDE AND RELATED DIURETICS,1500
"THROMBIN INHIBITORS,SEL.,DIRECT,&REV.-HIRUDIN TYPE",1502
"THROMBIN INHIBITORS,SELECTIVE,DIRECT, & REVERSIBLE",1503
THROMBOLYTIC ENZYMES,1504
THYROID HORMONES,1506
TRICYCLIC ANTIDEPRESSANTS & REL. NON-SEL. RU-INHIB,1529
TX FOR ADHD - SELECTIVE ALPHA-2 RECEPTOR AGONIST,1530
TX FOR ATTENTION DEFICIT-HYPERACT(ADHD)/NARCOLEPSY,1531
"TX FOR ATTENTION DEFICIT-HYPERACT.(ADHD), NRI-TYPE",1532
"URINARY TRACT ANTISPASMODIC, M(3) SELECTIVE ANTAG.",1537
URINARY TRACT ANTISPASMODIC/ANTIINCONTINENCE AGENT,1538
"VASODILATORS, COMBINATION",1547
"VASODILATORS,CORONARY",1548
"VASODILATORS,PERIPHERAL",1549
XANTHINES,1566
